TaxonID,Family,Genus,Species,MammalName,Mass,FillMass
471,CAPROMYIDAE,Isolobodon,montanus,Isolobodon montanus,-9999,0
472,CAPROMYIDAE,Isolobodon,portoricensis,Isolobodon portoricensis,-9999,0
474,CAPROMYIDAE,Mesocapromys,angelcabrerai,Mesocapromys angelcabrerai,-9999,0
475,CAPROMYIDAE,Mesocapromys,auritus,Mesocapromys auritus,-9999,0
476,CAPROMYIDAE,Mesocapromys,nanus,Mesocapromys nanus,-9999,0
477,CAPROMYIDAE,Mesocapromys,sanfelipensis,Mesocapromys sanfelipensis,-9999,0
479,CAPROMYIDAE,Mysateles,garridoi,Mysateles garridoi,-9999,0
480,CAPROMYIDAE,Mysateles,gundlachi,Mysateles gundlachi,-9999,0
481,CAPROMYIDAE,Mysateles,melanurus,Mysateles melanurus,-9999,0
482,CAPROMYIDAE,Mysateles,meridionalis,Mysateles meridionalis,-9999,0
483,CAPROMYIDAE,Mysateles,prehensilis,Mysateles prehensilis,-9999,0
485,CAPROMYIDAE,Plagiodontia,aedium,Plagiodontia aedium,1267,0
486,CAPROMYIDAE,Plagiodontia,ipnaeum,Plagiodontia ipnaeum,1267,1
489,CASTORIDAE,Castor,canadensis,Castor canadensis,21820,0
490,CASTORIDAE,Castor,fiber,Castor fiber,19000,0
493,CAVIIDAE,Cavia,aperea,Cavia aperea,548.997,0
494,CAVIIDAE,Cavia,fulgida,Cavia fulgida,282.501,0
495,CAVIIDAE,Cavia,intermedia,Cavia intermedia,572.875,1
496,CAVIIDAE,Cavia,magna,Cavia magna,460.002,0
497,CAVIIDAE,Cavia,tschudii,Cavia tschudii,1000,0
499,CAVIIDAE,Dolichotis,patagonum,Dolichotis patagonum,8000,0
500,CAVIIDAE,Dolichotis,salinicola,Dolichotis salinicola,1600,0
502,CAVIIDAE,Galea,flavidens,Galea flavidens,449.997,0
503,CAVIIDAE,Galea,monasteriensis,Galea monasteriensis,418.731,1
504,CAVIIDAE,Galea,musteloides,Galea musteloides,479.999,0
505,CAVIIDAE,Galea,spixii,Galea spixii,326.197,0
507,CAVIIDAE,Hydrochoerus,hydrochaeris,Hydrochoerus hydrochaeris,62449.649,0
508,CAVIIDAE,Hydrochoerus,isthmius,Hydrochoerus isthmius,62449.649,1
510,CAVIIDAE,Kerodon,acrobata,Kerodon acrobata,800,1
511,CAVIIDAE,Kerodon,rupestris,Kerodon rupestris,800,0
513,CAVIIDAE,Microcavia,australis,Microcavia australis,286.101,0
514,CAVIIDAE,Microcavia,niata,Microcavia niata,255.2,0
