referenceKey,FinalRelevance,Year,Author,Title,Journal,DOI
QPWMMP,YES,1993,Bulher P,"Interaktionen Zwischen Tukanen (ramphastidae, Aves) Und Fruchtenden Palmen (oenocarpus Bacaba, Arecoideae)","Animal-Plant Interactions in Tropical Environments. Zoologishes Forschungsinstitut und Museum Alexander Koenig, Bonn ",
WWOWKD,YES,2004,"Galetti, M.; Guimaraes, P.",Seed Dispersal of Attalea Phalerata (palmae) by Crested Caracaras (caracara Plancus) in the Pantanal and A Review of Frugivory by Raptors,Ararajuba,
KSXUK9UP,YES,2011,"Visser, Marco D.; Muller-Landau, Helene C.; Wright, S. Joseph; Rutten, Gemma; Jansen, Patrick A.",Tri-trophic Interactions Affect Density Dependence of Seed Fate in A Tropical Forest Palm,Ecology Letters,10.1111/j.1461-0248.2011.01677.x
PQZHDTFM,YES,2011,"Hernandez, Angel",Internal Dispersal of Seed-inhabiting Insects by Vertebrate Frugivores: A Review and Prospects,Integrative Zoology,10.1111/j.1749-4877.2011.00245.x
CZ7TPGEA,YES,2011,"Andrade, Pedro Cortes; Lino Mota, Joao Vitor; Freire de Carvalho, Anderson Abbehusen","Mutual Interactions Between Frugivorous Birds and Plants in An Urban Fragment of Atlantic Forest, Salvador, Ba",Revista Brasileira De Ornitologia,
EXFN932X,YES,2011,"Brancalion, Pedro H. S.; Rodrigues, Ricardo Ribeiro; Novembre, Ana D. L. C.; Gomez, Jose M.",Are We Misinterpreting Seed Predation in Palms?,Biotropica,10.1111/j.1744-7429.2010.00726.x
P775FGGN,YES,2011,"da Silva, Fernanda R.; Begnini, Romualdo M.; Lopes, Benedito C.; Castellani, Tania T.","Seed Dispersal and Predation in the Palm Syagrus Romanzoffiana On Two Islands With Different Faunal Richness, Southern Brazil",Studies on Neotropical Fauna and Environment,10.1080/01650521.2011.617065
EFXCE9ZU,YES,2010,"Choo, Juanita; Ishak, Heather; Simpson, Beryl; Mueller, Ulrich; Juenger, Tom","Characterization of 14 Microsatellite Loci in A Tropical Palm, Attalea Phalerata (arecaceae)",American Journal of Botany,10.3732/ajb.1000281
H5QQ9QUC,YES,2010,"Jansen, Patrick A.; Elschot, Kelly; Verkerk, P. Johannes; Wright, S. Joseph",Seed Predation and Defleshing in the Agouti-dispersed Palm Astrocaryum Standleyanum,Journal of Tropical Ecology,10.1017/S0266467410000337
6X8NU9XG,YES,2010,"Galetti, Mauro; Donatti, Camila I.; Steffler, Carla; Genini, Julieta; Bovendorp, Ricardo S.; Fleury, Marina","The Role of Seed Mass On the Caching Decision by Agoutis, Dasyprocta Leporina (rodentia: Agoutidae)",Zoologia,10.1590/51984-46702010000300022
5K2ARV99,YES,2010,"Klinger, Rob; Rejmanek, Marcel",A Strong Conditional Mutualism Limits and Enhances Seed Dispersal and Germination of A Tropical Palm,Oecologia,10.1007/s00442-009-1542-3
KRZVWJXE,YES,2009,"Galvez, Dumas; Kranstauber, Bart; Kays, Roland W.; Jansen, Patrick A.",Scatter Hoarding by the Central American Agouti: A Test of Optimal Cache Spacing Theory,Animal Behaviour,10.1016/j.anbehav.2009.08.015
SDHH6R5W,YES,2009,"Pizo, Marco Aurelio; Almeida-Neto, Mario","Determinants of Fruit Removal in Geonoma Pauciflora, An Understory Palm of Neotropical Forests",Ecological Research,10.1007/s11284-009-0599-0
GR5RQHM8,YES,2009,"Jorge, Maria Luisa S. P.; Howe, Henry F.",Can Forest Fragmentation Disrupt A Conditional Mutualism? A Case From Central Amazon,Oecologia,10.1007/s00442-009-1417-7
BCMDU95W,YES,2009,"Giombini, Mariano I.; Bravo, Susana P.; Martinez, Mariela F.",Seed Dispersal of the Palm Syagrus Romanzoffiana by Tapirs in the Semi-deciduous Atlantic Forest of Argentina,Biotropica,10.1111/j.1744-7429.2009.00526.x
TUSXD389,YES,2009,"Sezen, Uzay U.; Chazdon, Robin L.; Holsinger, Kent E.",Proximity Is Not A Proxy for  Parentage in An Animal-dispersed Neotropical Canopy Palm,Proceedings of the Royal Society B-Biological Sciences,10.1098/rspb.2008.1793
4GZW769B,YES,2009,"Keuroghlian, Alexine; Eaton, Donald P.",Removal of Palm Fruits and Ecosystem Engineering in Palm Stands by White-lipped Peccaries (tayassu Pecari) and Other Frugivores in An Isolated Atlantic Forest Fragment,Biodiversity and Conservation,10.1007/s10531-008-9554-6
VC6B8BSG,YES,2009,"Fadini, Rodrigo F.; Fleury, Marina; Donatti, Camila I.; Galetti, Mauro",Effects of Frugivore Impoverishment and Seed Predators On the Recruitment of A Keystone Palm,Acta Oecologica-International Journal of Ecology,10.1016/j.actao.2008.10.001
SW6IINCS,YES,2009,"Genini, Julieta; Galetti, Mauro; Morellato, L. Patricia C.",Fruiting Phenology of Palms and Trees in An Atlantic Rainforest Land-bridge Island,Flora,10.1016/j.flora.2008.01.002
8D6J2KK3,YES,2008,"Carvajal, Alejandra; Adler, Gregory H.",Seed Dispersal and Predation by Proechimys Semispinosus and Sciurus Granatensis in Gaps and Understorey in Central Panama,Journal of Tropical Ecology,10.1017/S0266467408005270
FVU3FU8K,YES,2008,"Keuroghlian, Alexine; Eaton, Donald P.",Fruit Availability and Peccary Frugivory in An Isolated Atlantic Forest Fragment: Effects On Peccary Ranging Behavior and Habitat Use,Biotropica,10.1111/j.1744-7429.2007.00351.x
EOROWM,YES,1990,"Leite, C.","Biologia E Reproducao De Allagoptera Arenaria (gomes) O Kuntze (diplothemium Maritimum Mart.) - Palmae, Rio De Janeiro",Universidade Federale do Rio de Janeiro,
EOWMSQ,YES,2006,"Gatti, A., Bianchi, C. R., Rosa, Xavier., ","Diet of Two Simpatric Carnivores, Cerdocydion Thous and Procyon Carnivorous",Journal of Tropical Ecology,
2B8RJJ9R,YES,2007,"de Almeida, Lilian Bonjorne; Galetti, Mauro",Seed Dispersal and Spatial Distribution of Attalea Geraensis (arecaceae) in Two Remnants of Cerrado in Southeastern Brazil,Acta Oecologica-International Journal of Ecology,10.1016/j.actao.2007.04.001
7UG43MXH,YES,2007,"Shapcott, Alison; Rakotoarinivo, Mijoro; Smith, Rhian J.; Lysakova, Gabriela; Fay, Michael F.; Dransfield, John","Can We Bring Madagascar's Critically Endangered Palms Back From the Brink? Genetics, Ecology and Conservation of the Critically Endangered Palm Beccariophoenix Madagascariensis",Botanical Journal of the Linnean Society,10.1111/j.1095-8339.2007.00676.x
ZCUPQ9XD,YES,2007,"Beckman, Noelle G.; Muller-Landau, Helene C.",Differential Effects of Hunting On Pre-dispersal Seed Predation and Primary and Secondary Seed Removal of Two Neotropical Tree Species,Biotropica,10.1111/j.1744-7429.2007.00273.x
5M6B58BE,YES,2007,"Galvez, Dumas; Jansen, Patrick A.",Bruchid Beetle Infestation and the Value of Attalea Butyracea Endocarps for  Neotropical Rodents,Journal of Tropical Ecology,10.1017/S0266467407003975
I7T7SQTA,YES,2007,"Castro, E. R.; Galetti, M.; Morellato, L. P. C.",Reproductive Phenology of Euterpe Edulis (arecaceae) Along A Gradient in the Atlantic Rainforest of Brazil,Australian Journal of Botany,10.1071/BT07029
FH6G8ZUD,YES,2006,"Piedade, Maria Teresa F.; Parolin, Pia; Junk, Wolfgang J.","Phenology, Fruit Production and Seed Dispersal of Astrocaryum Jauari (arecaceae) in Amazonian Black Water Floodplains",Revista De Biologia Tropical,
NIGV7PG7,YES,2006,"Fleury, M.; Galetti, M.",Forest Fragment Size and Microhabitat Effects On Palm Seed Predation,Biological Conservation,10.1016/j.biocon.2005.10.049
XDMVWGH6,YES,2006,"Salm, R.",Invertebrate and Vertebrate Seed Predation in the Amazonian Palm Attalea Maripa,Biotropica,10.1111/j.1744-7429.2006.00163.x
CFFXP4XP,YES,2006,"Beck, Harald",A Review of Peccary-palm Interactions and Their Ecological Ramifications Across the Neotropics,Journal of Mammalogy,10.1644/05-MAMM-A-174R1.1
VGQ5FWIF,YES,2004,"Pimentel, D. S.; Tabarelli, M.",Seed Dispersal of the Palm Attalea Oleifera in A Remnant of the Brazilian Atlantic Forest,Biotropica,10.1111/j.1744-7429.2004.tb00298.x
GKJ7KSQ7,YES,2003,"Fragoso, J. M. V.; Silvius, K. M.; Correa, J. A.",Long-distance Seed Dispersal by Tapirs Increases Seed Survival and Aggregates Tropical Trees,Ecology,10.1890/01-0621
DNJ3FTIE,YES,2003,"Silvius, K. M.; Fragoso, J. M. V.",Red-rumped Agouti (dasyprocta Leporina) Home Range Use in An Amazonian Forest: Implications for  the Aggregated Distribution of Forest Trees,Biotropica,10.1111/j.1744-7429.2003.tb00264.x
47WBFACH,YES,2003,"Silman, M. R.; Terborgh, J. W.; Kiltie, R. A.",Population Regulation of A Dominant-rain Forest Tree by A Major Seed-predator,Ecology,10.1890/0012-9658(2003)084[0431:PROADR]2.0.CO;2
AET8XMTR,YES,2003,"Piedade, M. T. F.; Parolin, P.; Junk, W. J.","Estrategias Ee Dispersao, Producao De Frutos E Extrativismo Aa Palmeira Astrocaryum Jauari Mart. Nos Igapos Do Rio Negro: Implicacoes Para A Ictiofauna",Ecologia Aplicada,
GAHWJAQW,YES,2002,"Silvius, K. M.; Fragoso, J. M. V.",Pulp Handling by Vertebrate Seed Dispersers Increases Palm Seed Predation by Bruchid Beetles in the Northern Amazon,Journal of Ecology,10.1046/j.1365-2745.2002.00728.x
TZQQ6HIH,YES,2002,"Ponce Calderon, Maria Elena",Patrones De Caida De Frutos En Mauritia Flexuosa L.F. Y Fauna Involucrada En Los Procesos De Remocion De Semillas,Acta Botanica Venezuelica,
5MT68NA3,YES,2001,"Wright, S. J.; Duber, H. C.","Poachers and Forest Fragmentation Alter Seed Dispersal, Seed Survival, and Seedling Recruitment in the Palm Attalea Butyraceae, With Implications for  Tropical Tree Diversity",Biotropica,10.1111/j.1744-7429.2001.tb00217.x
XF8TR5C7,YES,2001,"Silva, M. G.; Tabarelli, M.","Seed Dispersal, Plant Recruitment and Spatial Distribution of Bactris Acanthocarpa Martius (arecaceae) in A Remnant of Atlantic Forest in Northeast Brazil",Acta Oecologica-International Journal of Ecology,10.1016/S1146-609X(01)01117-1
UK7GGKT4,YES,2001,"Quiroga-Castro, V. D.; Roldan, A. I.",The Fate of Attalea Phalerata (palmae) Seeds Dispersed To A Tapir Latrine,Biotropica,
GWHKG3H5,YES,2001,"Pizo, M. A.; Simao, I.",Seed Deposition Patterns and the Survival of Seeds and Seedlings of the Palm Euterpe Edulis,Acta Oecologica-International Journal of Ecology,10.1016/S1146-609X(01)01108-0
4MTD7D6N,YES,2001,"Brewer, S. W.; Webb, M. A. H.",Ignorant Seed Predators and Factors Affecting the Seed Survival of A Tropical Palm,Oikos,10.1034/j.1600-0706.2001.930103.x
7TIDP9ZS,YES,2001,"Brewer, S. W.",Predation and Dispersal of Large and Small Seeds of A Tropical Palm,Oikos,10.1034/j.1600-0706.2001.920206.x
BZ5F6NIG,YES,1999,"Olmos, F.; Pardini, R.; Boulhosa, R. L. P.; Burgi, R.; Morsello, C.",Do Tapirs Steal Food From Palm Seed Predators Or Give Them A Lift?,Biotropica,10.1111/j.1744-7429.1999.tb00151.x
79QXRWTK,YES,1999,"Brewer, S. W.; Rejmanek, M.",Small Rodents As Significant Dispersers of Tree Seeds in A Neotropical Forest,Journal of Vegetation Science,10.2307/3237138
HFN8KI6H,YES,1998,"Matos, D. M. S.; Watkinson, A. R.","The Fecundity, Seed, and Seedling Ecology of the Edible Palm Euterpe Edulis in Southeastern Brazil",Biotropica,10.1111/j.1744-7429.1998.tb00099.x
AUW5PB8D,YES,1997,"Guix, J. C.; Ruiz, X.",Weevil Larvae Dispersal by Guans in Southeastern Brazil,Biotropica,10.1111/j.1744-7429.1997.tb00047.x
8ZP3AZ7R,YES,1997,"Fragoso, J. M. V.",Tapir-generated Seed Shadows: Scale-dependent Patchiness in the Amazon Rain Forest,Journal of Ecology,10.2307/2960574
8H7HXSMW,YES,1997,"Cintra, R.; Horna, V.",Seed and Seedling Survival of the Palm Astrocaryum Murumuru and the Legume Tree Dipteryx Micrantha in Gaps in Amazonian Forest,Journal of Tropical Ecology,
4GG45UKC,YES,1997,"Hoch, G. A.; Adler, G. H.",Removal of Black Palm (astrocaryum Standleyanum) Seeds by Spiny Rats (proechimys Semispinosus),Journal of Tropical Ecology,
XEKKS68M,YES,1995,"Guix, JC; Ruiz X.",Toucans and Thrushes As Potential Dispersers of Seed-predatory Weevil Larvae in Southeastern Brazil,Canadian Journal of Zoology-Revue Canadienne De Zoologie,10.1139/z95-087
JV3X7IEA,YES,1993,"Terborgh, J.; Losos, E.; Riley, MP; Riley, MB",Predation by Vertebrates and Invertebrates On the Seeds of 5 Canopy Tree Species of An Amazonian Forest,Vegetatio,
3AKWG7UN,YES,1993,"Peters, CR",Shell Strength and Primate Seed Predation of Nontoxic Species in Eastern and Southern Africa,International Journal of Primatology,10.1007/BF02192636
V9J9HAG9,YES,1993,"Eguiarte, LE; Burquez A.; Rodriguez J.; Martinez Ramoz, M.; Sarukhan J.; Pinero, D.","Direct and Indirect Estimates of Neighborhood and Effective Population-size in A Tropical Palm, Astrocaryum-mexicanum",Evolution,10.2307/2410119
CN8W3KVC,YES,1991,"Bodmer, RE",Strategies of Seed Dispersal and Seed Predation in Amazonian Ungulates,Biotropica,10.2307/2388202
44HW74RT,YES,1989,"Smythe, N.",Seed Survival in the Palm Astrocaryum-standleyanum - Evidence for  Dependence Upon Its Seed Dispersers,Biotropica,10.2307/2388441
H23N25UB,YES,1998,"Whitney, Kenneth D.; Smith, Thomas B.",Habitat Use and Resource Tracking by African Ceratogymna Hornbills: Implications for  Seed Dispersal and Forest Conservation,Animal Conservation,10.1111/j.1469-1795.1998.tb00018.x
ER3V5V4Q,YES,2010,"Tobler, Mathias W.; Janovec, John P.; Cornejo, Fernando",Frugivory and Seed Dispersal by the Lowland Tapir Tapirus Terrestris in the Peruvian Amazon,Biotropica,10.1111/j.1744-7429.2009.00549.x
