PALM,FRUGIVORE,frugClass,frugFamily,biogeographicRegion,InteractionID,Unique_interaction,frugBodyMASS,FruitLength_cm,PalmTribe,PalmSubfamily,Country,botanicalCountry,referenceKey
Astrocaryum gratum,Ateles chamek,MAMMAL,Atelidae,Neotropics,Astrocaryum gratum_Ateles chamek,1,5999.983,5.3,Cocoseae,Arecoideae,BOLIVIA,BOL,9BV5AQXD
Astrocaryum gratum,Coendou bicolor,MAMMAL,Erethizontidae,Neotropics,Astrocaryum gratum_Coendou bicolor,1,4000,5.3,Cocoseae,Arecoideae,BOLIVIA,BOL,9BV5AQXD
Astrocaryum gratum,Cuniculus paca,MAMMAL,Cuniculidae,Neotropics,Astrocaryum gratum_Cuniculus paca,1,8000,5.3,Cocoseae,Arecoideae,BOLIVIA,BOL,9BV5AQXD
Astrocaryum gratum,Dasyprocta punctata,MAMMAL,Dasyproctidae,Neotropics,Astrocaryum gratum_Dasyprocta punctata,1,2674.977,5.3,Cocoseae,Arecoideae,BOLIVIA,BOL,9BV5AQXD
Astrocaryum gratum,Mazama americana,MAMMAL,Cervidae,Neotropics,Astrocaryum gratum_Mazama americana,1,22799.746,5.3,Cocoseae,Arecoideae,BOLIVIA,BOL,9BV5AQXD
Astrocaryum gratum,Mazama nemorivaga,MAMMAL,Cervidae,Neotropics,Astrocaryum gratum_Mazama nemorivaga,1,16300.09,5.3,Cocoseae,Arecoideae,BOLIVIA,BOL,9BV5AQXD
Astrocaryum gratum,Nasua nasua,MAMMAL,Procyonidae,Neotropics,Astrocaryum gratum_Nasua nasua,1,3793.849,5.3,Cocoseae,Arecoideae,BOLIVIA,BOL,9BV5AQXD
Astrocaryum gratum,Odocoileus virginianus,MAMMAL,Cervidae,Neotropics,Astrocaryum gratum_Odocoileus virginianus,1,55508.565,5.3,Cocoseae,Arecoideae,BOLIVIA,BOL,9BV5AQXD
Astrocaryum gratum,Pecari tajacu,MAMMAL,Tayassuidae,Neotropics,Astrocaryum gratum_Pecari tajacu,1,21266.695,5.3,Cocoseae,Arecoideae,BOLIVIA,BOL,9BV5AQXD
Astrocaryum gratum,Procyon cancrivorus,MAMMAL,Procyonidae,Neotropics,Astrocaryum gratum_Procyon cancrivorus,1,6949.923,5.3,Cocoseae,Arecoideae,BOLIVIA,BOL,9BV5AQXD
